issn_fisico,issn_virtual,issn_normalizado,texto_espanol,texto_ingles,tokens_espanol,tokens_ingles,apc_monto_original,apc_moneda_original,apc_monto_usd,tasa_usd_utilizada,apc_monto_ppp_usd,apc_tipo,apc_real_disponible
2027-923X,2341-3018,2027-923X,otras ciencias sociales c,,4,0,4188.68,EUR,4523.77,1.08,11904.66,observado,True
0122-6150,2521-9715,0122-6150,otras ciencias sociales c cientifica facultad veterinarias universidad zulia,veterinary medicine animal science agricultural economics public health food technology,9,10,895.15,EUR,966.76,1.08,2544.11,observado,True
0120-4319,2580-5649,0120-4319,odontologia cirugia oral medicina clinica ciencias medicas salud b,design technology engineering general civil,9,5,575.0,EUR,621.0,1.08,1634.21,observado,True
0123-3734,2574-2167,0123-3734,negocios management economia ciencias sociales c,sotavento mba orthopaedic trauma association biomechanics medicine surgery orthopedic,6,9,1900.0,USD,1900.0,1.0,5000.0,declarado,True
2027-4297,2389-7708,2027-4297,ciencias veterinarias agricolas b colombiana animal recia,nephrology q4 medicine veterinary wildlife animal science agriculture,7,8,2244.95,EUR,2424.55,1.08,6380.39,observado,True
0124-6542,0717-6996,0124-6542,arquitectura urbanismo arte humanidades c,,5,0,2838.0,EUR,3065.04,1.08,8065.89,observado,True
1794-4724,2145-4515,1794-4724,psicologia incluye terapias aprendizaje habla visual otras discapacidades fisicas mentales ciencias sociales a1,clinical psychology q4,13,3,1828.24,EUR,1974.5,1.08,5196.05,observado,True
0121-5256,0123-2576,0121-5256,ciencias salud medicas a2,education q4 medical laboratory technology medicine miscellaneous health professions social sciences med biomedical science human translational clinical practice,4,18,1569.89,EUR,1695.48,1.08,4461.79,observado,True
1909-2814,1669-2721,1909-2814,ciencias educacion sociales c,social sciences philosophy humanities ethics politics psychology religion political science general,4,11,2931.6,EUR,3166.13,1.08,8331.92,observado,True
0304-3584,2145-7166,0304-3584,otras biologias ciencias biologicas naturales a2,science biology general,6,3,2648.07,EUR,2859.92,1.08,7526.11,observado,True
0122-0667,2998-4971,0122-0667,otros temas medicina clinica ciencias medicas salud b,medica risaralda medicine biomedical science human health translational clinical practice,8,10,300.0,EUR,324.0,1.08,852.63,observado,True
0123-7756,1657-0448,0123-7756,historia arqueologia humanidades c,dermatology q4 surgery medicine,4,4,1116.0,EUR,1205.28,1.08,3171.79,observado,True
2216-1473,2357-5239,2216-1473,otras humanidades c investigium ire ciencias sociales humanas,psychology sociology anthropology politic science administration history general works scholarship learning humanities social sciences,8,14,2000.0,EUR,2160.0,1.08,5684.21,observado,True
1692-7273,2145-4507,1692-7273,ciencias salud medicas a2 medicine general,health professions miscellaneous q3 occupational therapy physical sports rehabilitation q4 public environmental speech hearing medicine medical sciences,6,17,2000.0,EUR,2160.0,1.08,5684.21,observado,True
0120-0135,2256-2273,0120-0135,agronomia agricultura silvicultura pesca ciencias agricolas b,health professions miscellaneous q3 occupational therapy physical sports rehabilitation q4 public environmental speech hearing medicine agriculture environment sciences,7,18,2000.0,EUR,2160.0,1.08,5684.21,observado,True
1657-3412,,1657-3412,psicologia ciencias sociales c,culture social sciences sociology,4,4,1828.24,EUR,1974.5,1.08,5196.05,observado,True
2145-6569,2007-7149,2145-6569,psicologia incluye terapias aprendizaje habla visual otras discapacidades fisicas mentales ciencias sociales b gepu philosophy psychology religion,behavioral sciences clinical psychology occupational educational social psychosocial,17,8,370.08,EUR,399.69,1.08,1051.82,observado,True
2145-6151,2145-2946,2145-2946,derecho ciencias sociales c digital administrativo,law q3 political science relations q4 social sciences administrative contract general comparative uniform jurisprudence public,6,15,1096.16,EUR,1183.85,1.08,3115.39,observado,True
1657-9550,2705-3822,1657-9550,ciencias salud medicas a2,medicine miscellaneous q4 biosalud biological biotechnology cell molecular biology medical sciences science general,4,13,30000.0,NGN,19.5,0.00065,51.32,declarado,True
2256-3342,1982-5838,2256-3342,ciencias veterinarias agricolas c,agriculture animal sciences,4,3,263.1,EUR,284.15,1.08,747.76,observado,True
1657-0448,1657-0448,1657-0448,otros temas medicina clinica ciencias medicas salud c,dermatology q4 surgery medicine,8,4,1339.36,EUR,1446.51,1.08,3806.61,observado,True
2256-1676,2539-519X,2256-1676,otras ciencias sociales c,technology innovation engineering science general social sciences,4,7,405.79,EUR,438.25,1.08,1153.29,observado,True
0123-1154,1991-2773,0123-1154,otras ciencias sociales b,,4,0,1828.24,EUR,1974.5,1.08,5196.05,observado,True
0123-5931,2256-5450,0123-5931,idiomas literatura humanidades a2 teoria historia critica literary theory comparative literature cultural criticism language general,literature literary theory q2 arts humanities,15,6,1116.0,EUR,1205.28,1.08,3171.79,observado,True
2027-1840,1657-0448,2027-1840,ciencias veterinarias agricolas c,dermatology q4 surgery medicine colombiana ciencia animal nutrition physiology livestock farming breeding welfare products agriculture culture,4,16,2244.95,EUR,2424.55,1.08,6380.39,observado,True
2011-5318,2462-8654,2011-5318,educacion general incluye capacitacion pedagogia ciencias sociales c education teacher training didactics teaching special aspects theory practice,agronomy crop science q4 economics econometrics geography planning development agricultural biological sciences finance social educacion desarrollo,17,16,2676.26,EUR,2890.36,1.08,7606.21,observado,True
1900-9771,2409-5370,1900-9771,economia negocios ciencias sociales c,gestion region regional science economics economic geography urban planning general social sciences,5,12,104.17,EUR,112.5,1.08,296.05,observado,True
2215-7190,2145-4493,2215-7190,ciencias politicas sociales c,law q4 social sciences,4,4,2258.19,EUR,2438.85,1.08,6418.03,observado,True
0122-1213,2389-993X,0122-1213,otras ciencias sociales b prospectiva,social science intervention thought sciences pathology public welfare criminology general,5,10,2838.0,EUR,3065.04,1.08,8065.89,observado,True
0120-5498,2389-8356,0120-5498,ciencias salud medicas b medicina medicine general,education q4 medical laboratory technology medicine miscellaneous health professions social sciences therapeutics care history,7,14,1448.6,EUR,1564.49,1.08,4117.08,observado,True
0120-3630,2357-3740,0120-3630,geologia ciencias tierra medioambientales naturales a2,earth planetary sciences miscellaneous q4 geophysics regional geology geomorphology mineralogy petrography science,6,12,2000.0,EUR,2160.0,1.08,5684.21,observado,True
0120-131X,0123-5095,0120-131X,teologia otras humanidades b cuestiones teologicas filosoficas theology bible pastoral spirituality philosophy psychology religion practical doctrinal,philosophy q3 arts humanities,16,4,1300.0,EUR,1404.0,1.08,3694.74,observado,True
1692-8156,2011-1703,1692-8156,derecho ciencias sociales a2 universidad catolica santisima concepcion,law q3 political science relations q4 social sciences legal jurisprudence history public private,8,13,2647.58,EUR,2859.39,1.08,7524.71,observado,True
0123-4471,2462-9782,0123-4471,antropologia sociologia ciencias sociales b departamento facultad juridicas,health professions miscellaneous q3 occupational therapy physical sports rehabilitation q4 public environmental speech hearing medicine anthropology sociology ethnography ethnology social sciences,8,21,2681.0,EUR,2895.48,1.08,7619.68,observado,True
1909-2407,2215-4744,1909-2407,ciencias salud medicas c historia sanidad line history historiography costa rican central american latin general europe america spanish philosophy psychology religion doctrinal theology specific doctrines movements heresies schisms,,28,0,1116.0,EUR,1205.28,1.08,3171.79,observado,True
2248-7441,2674-113X,2248-7441,computacion ciencias informacion naturales c antioquena computacionales ingenieria software raccis,health professions miscellaneous q3 occupational therapy physical sports rehabilitation q4 public environmental speech hearing medicine software requirements security metrics continuous engineering devops sector systems science mathematics instruments machines electronic computers computer,10,31,1100.87,EUR,1188.94,1.08,3128.79,observado,True
1794-161X,2389-7864,1794-161X,ciencias tierra medioambientales naturales c,biology environmental sciences agriculture geography anthropology recreation science general,5,9,2784.55,EUR,3007.31,1.08,7913.97,observado,True
0120-4874,2357-6308,0120-4874,ciencias salud medicas b,education q4 medical laboratory technology medicine miscellaneous health professions social sciences medicina upb experimental clinical surgery oncology public general,4,19,1448.6,EUR,1564.49,1.08,4117.08,observado,True
1657-723X,2336-3037,1657-723X,medicina clinica ciencias medicas salud c,audiologia hoy logi scientific transport logistics warehousing handling vehicle sustainability technology engineering general civil transportation,6,15,150.0,EUR,162.0,1.08,426.32,declarado,True
0122-9729,1390-8618,0122-9729,sociologia ciencias sociales c retos administracion economia,economy society entrepreneurship innovation creativity marketing public administration social sciences commerce business economic theory demography economics as science,7,18,238.0,EUR,257.04,1.08,676.42,observado,True
2322-9721,2011-6721,2322-9721,estudios generales lenguaje idiomas literatura humanidades c,,7,0,1879.46,EUR,2029.82,1.08,5341.63,observado,True
0120-8748,2422-4022,0120-8748,otros temas medicina clinica ciencias medicas salud a2,neurology clinical q4 medicine,8,4,4123.71,EUR,4453.61,1.08,11720.03,observado,True
1692-5106,2336-3037,1692-5106,ciencias tierra medioambientales naturales c,ustasalud odontologia logi scientific transport logistics warehousing handling vehicle sustainability technology engineering general civil transportation,5,15,150.0,EUR,162.0,1.08,426.32,declarado,True
1692-8989,2317-627X,1692-8989,economia negocios ciencias sociales b region,regional economics agribusiness social sciences industries land use labor economic growth development planning theory demography as science,6,17,204.92,EUR,221.31,1.08,582.39,observado,True
0041-9095,2011-0839,0041-9095,ciencias salud medicas b universitas medica medicine,medicine health,7,2,300.0,EUR,324.0,1.08,852.63,observado,True
0121-2095,2389-7708,0121-2095,radiologia medicina nuclear imagenes clinica ciencias medicas salud c,nephrology q4 medicine colombiana radiologia logi scientific transport logistics warehousing handling vehicle sustainability technology engineering general civil transportation,9,18,2533.25,EUR,2735.91,1.08,7199.76,observado,True
2027-9035,2215-4744,2027-9035,historia arqueologia humanidades b 2 0 history historiography costa rican central american latin general europe america spanish philosophy psychology religion doctrinal theology specific doctrines movements heresies schisms,history q4 political science relations arts humanities social sciences,27,9,1116.0,EUR,1205.28,1.08,3171.79,observado,True
0121-747X,2357-5549,0121-747X,otras ciencias naturales c facultad,biophysics q4 computational theory mathematics molecular biology biochemistry genetics computer science statistics natural sciences biotechnology general,5,16,2000.0,EUR,2160.0,1.08,5684.21,observado,True
2215-8987,2518-2943,2215-8987,arquitectura urbanismo arte humanidades c,,5,0,2838.0,EUR,3065.04,1.08,8065.89,observado,True
0123-7047,2382-4603,0123-7047,ciencias cuidado salud servicios administracion hospitales financiamiento medicas b medunab medicine,nurse assisting q3 health professions miscellaneous q4 medicine nursing psychology public environmental occupational sciences,11,14,5176.12,EUR,5590.21,1.08,14711.08,observado,True
1900-5016,2248-6011,1900-5016,negocios management economia ciencias sociales c latinoamericanos administracion administration economy finance business marketing accounting,social sciences commerce business accounting bookkeeping finance,14,7,1828.24,EUR,1974.5,1.08,5196.05,observado,True
1657-463X,0719-9856,1657-463X,otras ciencias naturales c,philosophy science history technology sociology,4,5,895.15,EUR,966.76,1.08,2544.11,observado,True
2216-0965,2223-859X,2216-0965,derecho ciencias sociales c,eafit law lmjl ldwly llqnwn islamic comparative criminal jurisprudence constitutional,4,10,2329.9,EUR,2516.29,1.08,6621.82,observado,True
2027-1034,2619-3531,2027-1034,ciencias biologicas naturales c bio grafia escritos sobre biologia su ensenanza biology,science biology general,12,3,808.25,EUR,872.91,1.08,2297.13,observado,True
0120-677X,2145-5880,0120-677X,ciencias salud medicas b educacion fisica deporte physical education sport activity sports management leisure recreation special aspects geography anthropology,,19,0,416.0,EUR,449.28,1.08,1182.32,observado,True
2665-3303,2346-4712,2346-4712,educacion general incluye capacitacion pedagogia ciencias sociales c gondola ensenanza aprendizaje,science education natural sciences mathematics learning processes,11,7,2000.0,EUR,2160.0,1.08,5684.21,observado,True
0124-308X,2538-9971,0124-308X,ciencias cuidado salud servicios administracion hospitales financiamiento medicas c facultad universidad cauca medicine general,healthcare health sciences clinical public,14,5,2000.0,EUR,2160.0,1.08,5684.21,observado,True
0120-2650,1657-0448,0120-2650,fisica atomica molecular quimica ciencias fisicas naturales b,dermatology q4 surgery medicine colombiana fisica sic casopis za knjizevnost kulturu i knjizevno prevodjenje culture literature translation humanities social sciences language general,8,22,416.0,EUR,449.28,1.08,1182.32,observado,True
2256-1552,2797-0965,2256-1552,matematica ciencias naturales c,ib informacion basica estadistica primary education elementary learning strategies islamic special aspects,4,12,500000.0,IDR,31.5,6.3e-05,82.89,declarado,True
0123-2576,0123-2576,0123-2576,otras ciencias medicas salud b medicina laboratorio medicine laboratory clinical pathology,education q4 medical laboratory technology medicine miscellaneous health professions social sciences,11,11,1448.6,EUR,1564.49,1.08,4117.08,observado,True
0120-0380,2227-7390,0120-0380,matematicas puras matematica ciencias naturales b,matematicas algebra science mathematics,6,4,237.88,EUR,256.91,1.08,676.08,observado,True
0120-8454,2145-9169,0120-8454,filosofia otras humanidades c,humanities pedagogy education social sciences general,4,6,2258.19,EUR,2438.85,1.08,6418.03,observado,True
2665-2056,2145-5333,2145-5333,ciencias salud medicas c ciencia virtual,health professions miscellaneous q3 occupational therapy physical sports rehabilitation q4 public environmental speech hearing medicine microbiology physiotherapy pharmacy nutrition,6,19,1397.3,EUR,1509.08,1.08,3971.26,observado,True
2027-8918,2705-3822,2027-8918,otras biologias ciencias biologicas naturales c,biodiversidad tropical biological biotechnology cell molecular biology medical sciences medicine science general,6,12,2784.55,EUR,3007.31,1.08,7913.97,observado,True
2145-6194,0120-2596,2145-6194,negocios management economia ciencias sociales c civilizar empresa,business management accounting miscellaneous q4 economics econometrics finance social sciences sociology political science statistics probability uncertainty decision real estate markets economic theory demography as,8,24,2908.3,EUR,3140.96,1.08,8265.68,observado,True
0122-9354,2389-8526,0122-9354,ciencias veterinarias agricolas a2,veterinary medicine science animal health,4,5,380.8,EUR,411.26,1.08,1082.26,observado,True
2145-1362,3005-5857,2145-1362,ciencias salud medicas c r f s facultad universidad surcolombiana,natural sciences social health mathematical logic information tecnology agriculture,10,9,1314.0,EUR,1419.12,1.08,3734.53,observado,True
0120-8705,0123-2576,0120-8705,ciencias salud medicas a2,education q4 medical laboratory technology medicine miscellaneous health professions social sciences ces medicina experimental clinical surgery oncology public general,4,19,1448.6,EUR,1564.49,1.08,4117.08,observado,True
2011-5415,2810-8175,2011-5415,ciencias veterinarias agricolas b,veterinary sciences animal health medicine reproduction nutrition,4,7,500.0,EUR,540.0,1.08,1421.05,observado,True
2215-8405,2619-1822,2215-8405,ciencias tierra medioambientales naturales c teuken bidikay latinoamericana investigacion organizaciones ambiente sociedad organizations accounting management environmental society latin america,social sciences commerce general,19,4,1702.2,EUR,1838.38,1.08,4837.84,observado,True
1657-8236,2580-5649,1657-8236,ciencias computacion informacion naturales b,design technology engineering general civil,5,5,2640.0,EUR,2851.2,1.08,7503.16,observado,True
0120-6788,2595-315X,0120-6788,matematicas aplicadas matematica ciencias naturales b,social science sociology anthropology political demography general sciences,6,8,2331.51,EUR,2518.03,1.08,6626.39,observado,True
1909-5775,2453-675X,1909-5775,otras ingenierias tecnologias ingenieria tecnologia c,i t c investigacion tecnologia ciencia scientific about technologies technology technics industry education,6,13,405.79,EUR,438.25,1.08,1153.29,observado,True
2011-3188,2215-969X,2011-3188,arquitectura urbanismo arte humanidades b,architecture q4 geography planning development urban engineering social sciences,5,9,2838.0,EUR,3065.04,1.08,8065.89,observado,True
0120-4173,2500-7459,0120-4173,otras biologias ciencias biologicas naturales c asociacion colombiana,neurology clinical q4 medicine taxonomy biogeography ecology behaviour molecular biology conservation science general,8,13,2648.07,EUR,2859.92,1.08,7526.11,observado,True
2011-4990,1925-4296,2011-4990,geologia ciencias tierra medioambientales naturales c,ud geomatica earth observations geographic information sciences geodesy global positioning system navigation satellite systems science astronomy geography anthropology recreation general,6,20,865.0,USD,865.0,1.0,2276.32,declarado,True
1692-5114,0718-0527,1692-5114,arte humanidades c m magister analisis sistemico aplicado sociedad geography anthropology recreation,social anthropology sociology latin america,12,5,924.0,EUR,997.92,1.08,2626.11,observado,True
0123-4250,2998-4971,0123-4250,ciencias salud medicas c,medica sanitas medicine biomedical science human health translational clinical practice,4,10,3000.0,USD,3000.0,1.0,7894.74,declarado,True
0120-3800,2500-5669,0120-3800,psicologia incluye terapias aprendizaje habla visual otras discapacidades fisicas mentales ciencias sociales c interamericana ocupacional,work psychology organizational occupational health human resources resource management workplace behavior philosophy religion social sciences industries land use labor industrial behaviour change effectiveness corporate culture,15,25,1828.24,EUR,1974.5,1.08,5196.05,observado,True
0123-2614,2500-5103,0123-2614,otras ciencias sociales c,political science institutions public administration general,4,6,2676.26,EUR,2890.36,1.08,7606.21,observado,True
1909-8642,2619-645X,1909-8642,ingenieria marina naves ambiental tecnologia c,history q4 political science relations arts humanities social sciences ciencia tecnologia buques ship technology cartagena design hydrodynamics dynamics ships vibrations noise construction marine engineering naval,6,25,1791.95,EUR,1935.31,1.08,5092.92,observado,True
1909-230X,2389-7481,1909-230X,ciencias politicas sociales c,history q4 political science relations arts humanities social sciences communication politics institutions public administration general,4,15,2443.03,EUR,2638.47,1.08,6943.34,observado,True
0120-095X,2215-3934,0120-095X,otras humanidades c uis escuela estudios generales general works,humanities humanist thought,9,3,2618.0,EUR,2827.44,1.08,7440.63,observado,True
2027-1433,2340-3144,2027-1433,ciencias biologicas naturales c,communication new media marketing public relations strategy branding social sciences language literature philology linguistics mass,4,15,1996.61,EUR,2156.34,1.08,5674.58,observado,True
1900-9909,2447-794X,1900-9909,medios comunicacion social periodismo comunicaciones ciencias sociales b,,8,0,975.0,EUR,1053.0,1.08,2771.05,observado,True
2011-074X,2007-1868,2011-074X,sociologia ciencias sociales c s philosophy culture psychology religion general,,10,0,1019.3,EUR,1100.84,1.08,2896.95,observado,True
2027-7458,2390-0067,2027-7458,ciencias politicas sociales c analecta politica politics relations,history q4 political science relations arts humanities social sciences general,8,10,2443.03,EUR,2638.47,1.08,6943.34,observado,True
0072-0992,2336-3037,0072-0992,geologia ciencias tierra medioambientales naturales b,neurology clinical q4 medicine geologia colombiana logi scientific transport logistics warehousing handling vehicle sustainability technology engineering general civil transportation,6,19,150.0,EUR,162.0,1.08,426.32,declarado,True
0123-9678,0719-367X,0123-9678,ciencias computacion informacion naturales c,,5,0,2640.0,EUR,2851.2,1.08,7503.16,observado,True
0121-7372,2462-991X,0121-7372,medicina clinica ciencias medicas salud c,dermatology q4 surgery medicine health sciences biomedicine,6,7,1448.6,EUR,1564.49,1.08,4117.08,observado,True
1692-9918,1981-4127,1692-9918,otras ciencias naturales c,social science education human sciences general works geography anthropology recreation environmental,4,11,2331.51,EUR,2518.03,1.08,6626.39,observado,True
1692-3502,2215-4744,1692-3502,otras ciencias sociales c ensayos historia teoria arte history historiography costa rican central american latin general europe america spanish philosophy psychology religion doctrinal theology specific doctrines movements heresies schisms,,29,0,1116.0,EUR,1205.28,1.08,3171.79,observado,True
2027-8047,2715-9256,2027-8047,ciencias salud medicas c una sapuvet publica jurnal pemikiran administrasi negara,public administration policy bureaucracy service governance local government political science institutions asia asian only,11,14,2390.0,EUR,2581.2,1.08,6792.63,observado,True
0123-2592,2244-7490,0123-2592,otras ciencias sociales c dialectica education pedagogy teaching learning inclusion tic general,,12,0,2838.0,EUR,3065.04,1.08,8065.89,observado,True
1657-7663,0719-367X,1657-7663,ciencias computacion informacion naturales c,,5,0,2640.0,EUR,2851.2,1.08,7503.16,observado,True
0122-011X,2215-4744,0122-011X,idiomas literatura humanidades c teoria historia critica history historiography costa rican central american latin general europe america spanish philosophy psychology religion doctrinal theology specific doctrines movements heresies schisms,,28,0,1116.0,EUR,1205.28,1.08,3171.79,observado,True
1900-5121,2751-2614,1900-5121,salud publica ciencias medicas c tipica electronico escolar,energy environment biomedicine artificial intelligence electronic information storage conversion science physics technology,8,12,3200.0,USD,3200.0,1.0,8421.05,declarado,True
0123-4676,2215-4744,0123-4676,historia arqueologia humanidades b fronteras history historiography costa rican central american latin general europe america spanish philosophy psychology religion doctrinal theology specific doctrines movements heresies schisms,history q4 political science relations arts humanities social sciences,26,9,1116.0,EUR,1205.28,1.08,3171.79,observado,True
1909-7891,2358-3452,1909-7891,ingenieria civil tecnologia c vetor ciencias exatas engenharias,vector engineering chemistry exact sciences applied mathematics mathematical modelling technology general civil science,8,13,1104.0,EUR,1192.32,1.08,3137.68,observado,True
1692-3103,0120-1867,1692-3103,derecho ciencias sociales b maestria economico universidad catolica santisima concepcion,law q3 political science relations q4 social sciences legal jurisprudence history public private,10,13,1828.49,EUR,1974.77,1.08,5196.76,observado,True
0120-6680,1988-3242,0120-6680,filosofia otras humanidades c,,4,0,243.34,EUR,262.81,1.08,691.61,observado,True
1657-5946,2215-7727,1657-5946,economia negocios ciencias sociales c gestion desarrollo,agronomy crop science q4 economics econometrics geography planning development agricultural biological sciences finance social economic history conditions theory demography as,7,20,2908.3,EUR,3140.96,1.08,8265.68,observado,True
0120-9833,2543-3717,0120-9833,ingenieria ambiental tecnologia c,energetica energy renewable environment solar thermal social sciences industries land use labor special trades policy fuel trade,4,17,2671.76,EUR,2885.5,1.08,7593.42,observado,True
1692-0880,0123-2576,1692-0880,medicina clinica ciencias medicas salud c,education q4 medical laboratory technology medicine miscellaneous health professions social sciences medicina experimental clinical surgery oncology public general,6,18,1448.6,EUR,1564.49,1.08,4117.08,observado,True
0123-2304,2421-4574,0123-2304,otras humanidades c,temas reflexiones tema technology engineering materials architecture building performance construction practices technical history preservation architectural structural buildings,3,17,400.0,EUR,432.0,1.08,1136.84,declarado,True
0122-9534,2675-6617,0122-9534,ciencias veterinarias agricolas b,,4,0,380.8,EUR,411.26,1.08,1082.26,observado,True
1012-7410,2590-9932,1012-7410,biotecnologia agricola ciencias agricolas c,pasturas tropicales wood technology products management agriculture forestry,5,8,2784.55,EUR,3007.31,1.08,7913.97,observado,True
0123-1952,2786-8788,0123-1952,historia arqueologia humanidades c,utopia siglo xxi relations diplomacy foreign policy history political science general,4,11,600.0,UAH,16.2,0.027,42.63,declarado,True
0121-2532,2600-5727,0121-2532,otras ciencias sociales c,coyuntura social sciences commerce business accounting bookkeeping economic theory demography economics as science,4,13,267.75,EUR,289.17,1.08,760.97,observado,True
0120-3797,2007-7149,0120-3797,psicologia ciencias sociales a2 avances clinica latinoamericana philosophy psychology religion,behavioral sciences clinical psychology occupational educational social psychosocial,10,8,1828.24,EUR,1974.5,1.08,5196.05,observado,True
