issn_fisico,issn_virtual,issn_normalizado,texto_espanol,texto_ingles,tokens_espanol,tokens_ingles,apc_monto_original,apc_moneda_original,apc_monto_usd,tasa_usd_utilizada,apc_monto_ppp_usd,apc_tipo,apc_real_disponible
0034-7450,1657-0448,0034-7450,medicina clinica ciencias medicas salud b,dermatology q4 surgery medicine,6,4,,,,,,,False
2539-3669,2215-7727,2539-3669,negocios management economia ciencias sociales c gestion desarrollo libre,agronomy crop science q4 economics econometrics geography planning development agricultural biological sciences finance social innovation humanities technology life general,9,19,,,,,,,False
2215-7727,2215-7727,2215-7727,sociologia ciencias sociales c,agronomy crop science q4 economics econometrics geography planning development agricultural biological sciences finance social,4,14,1783.67,EUR,1926.36,1.08,5069.37,observado,True
0124-7441,0124-7441,2590-4566,derecho ciencias sociales c,political science relations q2 sociology social sciences,4,7,,,,,,,False
1657-9267,2011-2777,1657-9267,psicologia ciencias sociales b,psychology miscellaneous q4 social universitas psychologica sciences education philosophy religion,4,10,2323.34,EUR,2509.21,1.08,6603.18,observado,True
0124-0781,0719-5338,2590-8669,ciencias politicas sociales c,history q4 political science relations arts humanities social sciences sociology latin america public policy economy general,4,16,2443.03,EUR,2638.47,1.08,6943.34,observado,True
1794-8231,,2462-8794,matematicas aplicadas matematica ciencias naturales c ecomatematico education mathematics,education special aspects science mathematics,9,5,2826.34,EUR,3052.45,1.08,8032.76,observado,True
1794-5658,,2500-7769,otras humanidades c,,3,0,,,,,,,False
1657-5997,1970-7452,2027-5374,enfermeria ciencias salud medicas c,,5,0,,,,,,,False
0123-4366,2145-4493,2346-2442,derecho ciencias sociales a2 privado universidad catolica santisima concepcion,law q4 social sciences legal jurisprudence history public private,9,9,,,,,,,False
0370-3908,0370-3908,2382-4980,ciencias tierra medioambientales naturales c academia colombiana exactas fisicas,history philosophy science q3 agricultural biological sciences miscellaneous q4 biochemistry genetics molecular biology chemistry earth planetary energy mathematics physics astronomy arts humanities social general works scholarship learning,9,27,,,,,,,False
2027-5846,,2027-5846,otras ingenierias tecnologias ingenieria tecnologia c usbmed,technology engineering biomedical software computer science data general civil,7,9,5176.12,EUR,5590.21,1.08,14711.08,observado,True
1692-3030,1692-3030,2389-7716,derecho ciencias sociales b,law q2 social sciences juridicas cuc penal code civil estonian fundamental personal rights european europe,4,15,,,,,,,False
0124-5996,2358-2820,2346-2450,economia negocios ciencias sociales b institucional,real estate finance markets social sciences economic theory demography economics as science,6,12,,,,,,,False
0120-7555,0120-7555,2346-206X,economia negocios ciencias sociales c,geography planning development q4 tourism leisure hospitality management business accounting social sciences communication new media marketing public relations strategy branding language literature philology linguistics mass,5,25,1996.61,EUR,2156.34,1.08,5674.58,observado,True
0123-3432,2246-2589,2145-566X,idiomas literatura humanidades a2,,4,0,,,,,,,False
0122-6517,1970-7452,2382-4700,ingenieria electrica electronica ingenierias informatica tecnologia b,,7,0,,,,,,,False
0120-0488,1657-0448,2665-4385,otras ciencias agricolas c,dermatology q4 surgery medicine sociology social sciences antrophology political science general,4,11,2400.0,EUR,2592.0,1.08,6821.05,observado,True
0124-0064,1852-9429,2539-3596,ciencias salud medicas c publica,health professions miscellaneous q3 occupational therapy physical sports rehabilitation q4 public environmental speech hearing medicine epidemiology community care general aspects,5,20,,,,,,,False
1909-0455,1909-0455,2323-0703,ciencias tierra medioambientales naturales c,environmental science miscellaneous q4 management monitoring policy law,5,8,,,,,,,False
0124-2121,0124-2121,2665-2420,educacion general incluye capacitacion pedagogia ciencias sociales b humanismo education teacher training didactics teaching special aspects theory practice,cultural q3 history philosophy science education q4 gender arts humanities social sciences,18,12,2618.0,EUR,2827.44,1.08,7440.63,observado,True
0124-177X,1981-4127,2357-5905,geografia social economica ciencias sociales c,social science education human sciences general works geography anthropology recreation environmental,6,11,,,,,,,False
0123-5362,0123-5362,0123-5362,economia negocios ciencias sociales c rosario,economics econometrics finance miscellaneous q4 social sciences economic theory demography as science,6,12,204.92,EUR,221.31,1.08,582.39,observado,True
0121-8417,2215-4744,2357-4720,historia arqueologia humanidades c sociedad history historiography costa rican central american latin general europe america spanish philosophy psychology religion doctrinal theology specific doctrines movements heresies schisms,history q4 political science relations arts humanities social sciences,26,9,1116.0,EUR,1205.28,1.08,3171.79,observado,True
1794-8932,2183-9468,2346-0806,ciencias educacion sociales b,sophia architecture city image art practice photography fine arts visual,4,10,1294.3,EUR,1397.84,1.08,3678.53,observado,True
1692-7311,2794-0462,2389-8844,economia negocios ciencias sociales b equidad desarrollo,cooperation development relations social science economic sciences,7,7,,,,,,,False
0120-3754,2215-7727,2500-5227,ciencias politicas sociales c,agronomy crop science q4 economics econometrics geography planning development agricultural biological sciences finance social,4,14,,,,,,,False
2346-3775,2346-3775,2346-3775,agricultura silvicultura pesca ciencias agricolas b,agronomy crop science q3 ecology evolution behavior systematics plant agricultural biological sciences,6,12,2784.55,EUR,3007.31,1.08,7913.97,observado,True
1692-0279,2443-9991,2256-4322,economia negocios ciencias sociales b,education innovation teacher training didactics teaching,5,6,1932.16,EUR,2086.73,1.08,5491.39,observado,True
1900-9895,0120-1867,2500-5324,ciencias educacion sociales c,law q3 political science relations q4 social sciences education educational policy latin america justice right to,4,16,1828.24,EUR,1974.5,1.08,5196.05,observado,True
2422-4200,1666-6933,2422-4200,ciencias sociales interdisciplinaria otras c,science engineering technology chemistry information computer general civil,5,8,243.34,EUR,262.81,1.08,691.61,observado,True
0124-6127,2718-6474,2462-9596,otras humanidades c discusiones filosoficas,legal theory philosophy law political criminal constitutional interpretation social sciences sociology general comparative uniform jurisprudence science,5,16,,,,,,,False
0120-5307,0120-5307,2216-0280,ciencias salud medicas b investigacion educacion enfermeria education teacher training didactics teaching general special aspects theory practice,maternity midwifery q1 community home care q2 family practice health social science nursing miscellaneous geriatrics gerontology q3 medicine sciences,17,19,,,,,,,False
0124-4639,2145-4558,0124-4639,economia negocios ciencias sociales b,enterprises management internationalisation leadership innovation social sciences commerce business,5,9,,,,,,,False
0120-4483,2313-979X,2665-1327,economia negocios ciencias sociales b,economic policy social macroeconomics economy financial development sciences theory demography finance history conditions,5,13,1828.49,EUR,1974.77,1.08,5196.76,observado,True
1794-5992,,2389-783X,ciencias socio biomedicas planificacion familiar salud sexual efectos politicos sociales investigacion biomedica medicas c,,14,0,,,,,,,False
0124-2059,2215-7727,2027-128X,ciencias salud medicas c investigacion enfermeria imagen desarrollo,agronomy crop science q4 economics econometrics geography planning development agricultural biological sciences finance social antropology archaeology history andean culture region anthropology recreation auxiliary,8,23,,,,,,,False
1794-161X,,2389-7864,ciencias biologicas naturales c,,4,0,2784.55,EUR,3007.31,1.08,7913.97,observado,True
1794-4449,1794-4449,2256-3938,otras ciencias naturales c,multidisciplinary q4 lasallista investigacion public engagement impact engaged community general works,4,11,,,,,,,False
0122-820X,2531-1654,2422-5053,otras ingenierias tecnologias ingenieria tecnologia c,respuestas spanish english translation literature linguistics anglo language,6,8,,,,,,,False
2145-9371,2215-2652,2145-9371,otras ingenierias tecnologias ingenieria tecnologia b,technology engineering general civil,6,4,,,,,,,False
0122-8803,0122-8803,2322-6889,historia arqueologia humanidades b caribe history historiography costa rican central american latin general europe america spanish philosophy psychology religion doctrinal theology specific doctrines movements heresies schisms,history q3 arts humanities,26,4,1116.0,EUR,1205.28,1.08,3171.79,observado,True
1900-5407,2215-356X,2011-4273,antropologia sociologia ciencias sociales a2,,5,0,,,,,,,False
2215-8421,2215-8421,2215-8421,educacion general incluye capacitacion pedagogia ciencias sociales c,,8,0,,,,,,,False
0123-4641,2248-7085,0123-4641,linguistica idiomas literatura humanidades b,,5,0,3306.51,EUR,3571.03,1.08,9397.45,observado,True
0120-3053,2531-1654,2256-5779,economia negocios ciencias sociales c,apuntes cenes spanish english translation literature linguistics anglo language,5,9,,,,,,,False
1657-6357,2389-9050,2389-9050,ciencias sociales interdisciplinaria otras c sociedad economia,social sciences economics econometrics change sociology issues general,7,8,1996.61,EUR,2156.34,1.08,5674.58,observado,True
0120-3649,2593-0265,2011-219X,otras humanidades c,,3,0,,,,,,,False
0121-7372,1657-0448,2462-991X,otras ciencias medicas salud c,dermatology q4 surgery medicine repertorio medicina cirugia experimental clinical oncology public health general,5,13,1448.6,EUR,1564.49,1.08,4117.08,observado,True
1794-7154,2275-6639,2382-3240,ciencias sociales interdisciplinaria otras b,,5,0,,,,,,,False
0120-2596,0120-2596,0120-2596,economia negocios ciencias sociales c lecturas,business management accounting miscellaneous q4 economics econometrics finance social sciences sociology political science statistics probability uncertainty decision applied public policy economic thought history conditions theory demography as,6,27,2838.0,EUR,3065.04,1.08,8065.89,observado,True
0123-4412,0120-1867,2665-3273,idiomas literatura humanidades a1,law q3 political science relations q4 social sciences,4,8,,,,,,,False
0120-131X,0120-131X,2389-9980,teologia otras humanidades c,religious q2 arts humanities design technology engineering general civil,4,9,1300.0,EUR,1404.0,1.08,3694.74,observado,True
0121-2494,1852-4222,2500-6436,educacion general incluye capacitacion pedagogia ciencias sociales b saberes,economics accounting taxation management statistics social sciences economic theory demography,9,10,,,,,,,False
2145-1389,1982-2014,2463-1140,economia negocios ciencias sociales c,,5,0,,,,,,,False
0120-0011,0120-0011,2357-3848,otras ciencias medicas salud c,medicine miscellaneous q4 natural sciences social health mathematical logic information tecnology agriculture,5,12,1448.6,EUR,1564.49,1.08,4117.08,observado,True
0041-9060,1698-7950,2011-1711,derecho ciencias sociales c vniversitas universitas filosofia politica,political philosophy law human rights science gender politics general comparative uniform jurisprudence public psychology religion,8,15,,,,,,,False
0120-4203,3005-5857,2590-4604,negocios management economia ciencias sociales c,natural sciences social health mathematical logic information tecnology agriculture,6,9,,,,,,,False
2011-799X,2011-799X,2011-799X,idiomas literatura humanidades a2,linguistics language q2 social sciences,4,5,1828.24,EUR,1974.5,1.08,5196.05,observado,True
0121-7488,2794-0462,2462-7658,otras ciencias naturales b ciencia desarrollo,history q4 political science relations arts humanities social sciences cooperation development economic,6,12,,,,,,,False
0122-9761,0122-9761,2590-4671,biologia marina agua ciencias biologicas naturales c,conservation q2 museology animal science zoology q3 aquatic geography planning development law management monitoring policy oceanography water technology agricultural biological sciences arts humanities earth planetary environmental social ocean resources marine coastal caribbean ecology biodiversity,7,34,,,,,,,False
1909-0528,1909-0528,1909-0528,derecho ciencias sociales c via inveniendi et iudicandi virtual viei,law q1 social sciences legal history politics political science general,10,10,2676.26,EUR,2890.36,1.08,7606.21,observado,True
0123-5923,2590-9932,2665-6744,economia negocios ciencias sociales c,estudios gerenciales wood technology products management agriculture forestry,5,8,,,,,,,False
0121-3628,1980-5934,2256-358X,filosofia otras humanidades c,,4,0,,,,,,,False
0124-0137,0124-0137,2027-212X,psicologia ciencias sociales b,applied psychology q4 experimental cognitive psicogente sic casopis za knjizevnost kulturu i knjizevno prevodjenje culture literature translation humanities social sciences language general,4,22,,,,,,,False
0121-4705,2386-8066,0121-4705,ciencias politicas sociales a1,history q2 political science relations q3 sociology arts humanities social sciences,4,11,2258.19,EUR,2438.85,1.08,6418.03,observado,True
2390-0725,2422-3182,2422-3182,negocios management economia ciencias sociales b cea economy econometrics marketing administration accounting finance,social sciences commerce finance,13,4,638.23,EUR,689.29,1.08,1813.92,observado,True
0120-1700,1984-1566,2389-8755,ciencias educacion sociales c actualidades pedagogicas teaching pedagogy education general special aspects,,12,0,,,,,,,False
2145-6097,2305-0683,2145-6453,agronomia agricultura silvicultura pesca ciencias agricolas b,agronomy farming acricultural science,7,4,,,,,,,False
0120-6346,2523-0840,2248-4345,economia negocios ciencias sociales c,macroeconomic microecomomic ecological economics economic development public econometrics social sciences theory demography as science history conditions industries land use labor growth planning,5,22,1828.49,EUR,1974.77,1.08,5196.76,observado,True
0121-215X,2236-4994,2256-5442,otras ciencias sociales b geografia teaching geography environmental cartography anthropology recreation general,,12,0,416.0,EUR,449.28,1.08,1182.32,observado,True
0122-5383,0122-5383,2382-4581,otras ingenierias tecnologias ingenieria tecnologia c,chemical engineering miscellaneous q4 energy fuel technology geology geophysics renewable sustainability environment earth planetary sciences ct f ciencia tecnologia futuro ctyf scientific about technologies technics industry education,6,27,902.03,EUR,974.19,1.08,2563.66,observado,True
0121-1617,0121-1617,1900-6152,historia arqueologia humanidades a1,cultural q1 history social sciences miscellaneous q2 geography planning development q3 arts humanities,4,13,1116.0,EUR,1205.28,1.08,3171.79,observado,True
0120-338X,2340-1362,2256-5469,idiomas literatura humanidades c,,4,0,,,,,,,False
1657-107X,1853-1326,2500-5421,ciencias educacion sociales b interamericana investigacion pedagogia education teacher training didactics teaching general special aspects theory practice,,17,0,1828.24,EUR,1974.5,1.08,5196.05,observado,True
0304-2847,2588-0837,2248-7026,otras ciencias agricolas b facultad nacional agronomia medellin faculty jurisprudence,law economics public policy jurisprudence general comparative uniform,10,8,,,,,,,False
1692-5858,2610-8046,2216-135X,periodismo comunicaciones ciencias sociales b encuentros humanas teoria social pensamiento critico,human sciences critical thinking general works history scholarship learning humanities social,11,11,,,,,,,False
0120-0135,2447-3383,2256-2273,agronomia agricultura silvicultura pesca ciencias agricolas b,health professions miscellaneous q3 occupational therapy physical sports rehabilitation q4 public environmental speech hearing medicine ciencia agricola plant protection agriculture family farming forestry fruit growing general culture,7,27,2000.0,EUR,2160.0,1.08,5684.21,observado,True
1692-715X,1692-715X,2027-7679,ciencias sociales interdisciplinaria otras b latinoamericana ninez juventud,social sciences miscellaneous q2 developmental educational psychology q3,8,8,1828.24,EUR,1974.5,1.08,5196.05,observado,True
1794-4724,2007-7149,2145-4515,psicologia ciencias sociales c avances latinoamericana philosophy psychology religion,behavioral sciences clinical psychology occupational educational social psychosocial,9,8,1828.24,EUR,1974.5,1.08,5196.05,observado,True
2145-9444,,2145-9444,ciencias educacion sociales b,,4,0,,,,,,,False
1856-9536,1856-9536,1856-9536,periodismo comunicaciones ciencias sociales c,communication q3 library information sciences social anuario electronico estudios comunicacion disertarciones disertaciones journalism media cultural,5,15,300.05,EUR,324.05,1.08,852.76,observado,True
1794-7111,2531-1654,2462-8115,diseno arte humanidades a1,kepes spanish english translation literature linguistics anglo language,4,8,,,,,,,False
1657-8953,,2619-189X,ciencias sociales interdisciplinaria otras c,,5,0,,,,,,,False
1794-9165,2389-9484,2256-4314,otras ingenierias tecnologias ingenieria tecnologia b,history q4 political science relations arts humanities social sciences biodiversity sustainable development technological innovation industrial production processes technology engineering general civil,6,21,,,,,,,False
1657-8961,2660-6070,2665-3281,psicologia ciencias sociales b,philosophy humanities political thought social sciences education,4,7,,,,,,,False
2011-3080,2007-7149,2011-3080,psicologia ciencias sociales c ces philosophy psychology religion,psychology miscellaneous q4 behavioral sciences clinical occupational educational social psychosocial,8,10,532.0,EUR,574.56,1.08,1512.0,observado,True
1900-3803,2422-6459,2539-0279,ciencias sociales interdisciplinaria otras b entramado entramados educacion sociedad education society academic practices teaching educational training,education social sciences,16,3,,,,,,,False
1794-0915,2336-3037,1794-0915,ciencias biologicas naturales c,animal science zoology q3 ecology evolution behavior systematics agricultural biological sciences ornitologia colombiana logi scientific transport logistics warehousing handling vehicle sustainability technology engineering general civil transportation,4,26,150.0,EUR,162.0,1.08,426.32,declarado,True
1692-2484,0123-5095,2145-8529,filosofia otras humanidades c,philosophy q3 arts humanities,4,4,,,,,,,False
0121-0319,2960-8309,1794-5240,otras ciencias medicas salud c,,5,0,5176.12,EUR,5590.21,1.08,14711.08,observado,True
0034-7434,0717-7526,2463-0225,medicina clinica ciencias medicas salud c,neurology clinical q4 medicine ginecology obstetrics women s health reproduction reproductive,6,11,350.0,USD,350.0,1.0,921.05,declarado,True
0121-5469,0121-5469,2344-8644,psicologia ciencias sociales a2 colombiana philosophy psychology religion,psychology miscellaneous q3 social sciences behavioral clinical occupational educational psychosocial,8,10,,,,,,,False
0121-4772,0121-4772,2248-4337,economia negocios ciencias sociales b colombia,arts humanities miscellaneous q3 economics econometrics finance q4 social sciences real estate markets economic theory demography as science,6,18,2908.3,EUR,3140.96,1.08,8265.68,observado,True
0120-5609,0120-5609,2248-8723,ingenieria civil tecnologia b,engineering miscellaneous q3 building construction q4 technology general civil,4,9,,,,,,,False
0123-3068,2215-4744,2462-8190,ciencias biologicas naturales a2 cientifico museo historia natural history historiography costa rican central american latin general europe america spanish philosophy psychology religion doctrinal theology specific doctrines movements heresies schisms,,29,0,1116.0,EUR,1205.28,1.08,3171.79,observado,True
0120-5633,0120-5633,2357-3260,ciencias salud medicas c,cardiology cardiovascular medicine q4 colombiana cardiologia logi scientific transport logistics warehousing handling vehicle sustainability technology engineering general civil transportation,4,19,150.0,EUR,162.0,1.08,426.32,declarado,True
0124-4035,2145-5112,0124-4035,ciencias politicas sociales b,political science relations social sciences general,4,6,,,,,,,False
0122-9893,0122-9893,2346-2051,derecho ciencias sociales b estado universidad catolica santisima concepcion,law q2 social sciences legal jurisprudence history public private,9,9,,,,,,,False
0123-8418,2215-7484,0123-8418,geografia social economica ciencias sociales b territorios urban development economic environment culture politics,urban q3 geography planning development q4 social sciences communities classes races,13,11,,,,,,,False
0124-8170,2215-2652,1909-7735,otras ingenierias tecnologias ingenieria tecnologia b,technology engineering general civil,6,4,1806.0,EUR,1950.48,1.08,5132.84,observado,True
1900-3102,2215-2652,2357-6014,otras ingenierias tecnologias ingenieria tecnologia c,technology engineering general civil,6,4,,,,,,,False
1390-499X,1390-5007,2011-7477,filosofia otras humanidades c,,4,0,,,,,,,False
0121-4500,1851-1694,2346-0261,enfermeria ciencias salud medicas b avances ava antropologia,social anthropology ethnology change culture cultural processes geography recreation,8,9,,,,,,,False
0121-4004,0121-4004,2145-2660,farmacologia farmacia medicina basica ciencias medicas salud b,pharmacology toxicology pharmaceutics miscellaneous q3 applied microbiology biotechnology q4 food science agricultural biological sciences immunology,8,15,1176.26,EUR,1270.36,1.08,3343.05,observado,True
0120-0690,0120-0690,2256-2958,ciencias veterinarias agricolas b colombiana pecuarias,animal science zoology q4 veterinary miscellaneous agricultural biological sciences,6,9,2000.0,EUR,2160.0,1.08,5684.21,observado,True
1909-2474,0122-5391,1909-2474,ciencias ambientales aspectos sociales geografia social economica c,education q4 environmental science miscellaneous social sciences,8,7,,,,,,,False
2145-941X,2660-6070,2145-941X,negocios management economia ciencias sociales b,philosophy humanities political thought social sciences education,6,7,,,,,,,False
0123-9392,0123-9392,2422-3794,otras ciencias medicas salud c,infectious diseases q4 microbiology medical pharmacology medicine infectio infection clinical practice epidemiology internal parasitic public aspects,5,16,2675.07,EUR,2889.08,1.08,7602.84,observado,True
0120-3592,0120-3592,1900-7205,negocios management economia ciencias sociales c,business management q4 economics econometrics finance miscellaneous strategy accounting administracion public administration policy sector political science institutions general,6,18,,,,,,,False
0123-5931,2215-4744,2256-5450,estudios literarios idiomas literatura humanidades b teoria historia critica history historiography costa rican central american latin general europe america spanish philosophy psychology religion doctrinal theology specific doctrines movements heresies schisms,,30,0,1116.0,EUR,1205.28,1.08,3171.79,observado,True
1657-4923,,2389-7872,otras humanidades c,,3,0,,,,,,,False
1657-0308,2518-2943,2357-626X,arquitectura urbanismo arte humanidades b,,5,0,2838.0,EUR,3065.04,1.08,8065.89,observado,True
0120-5323,1698-7950,2346-2426,otras humanidades c universitas philosophica filosofia derecho politica,philosophy q4 arts humanities political law human rights science gender politics general comparative uniform jurisprudence public psychology religion,8,18,2255.17,EUR,2435.58,1.08,6409.42,observado,True
2145-0366,2448-5764,2145-0366,ciencias sociales interdisciplinaria otras c h artes humanidades,social sciences education arts cultural history literature general europe,8,9,,,,,,,False
2346-3279,2358-9566,2711-0044,otras ciencias sociales c,,4,0,,,,,,,False
0123-3033,2215-2652,2027-8284,otras ingenierias tecnologias ingenieria tecnologia b,technology engineering general civil,6,4,,,,,,,False
0123-1294,1853-1326,2027-5358,educacion general incluye capacitacion pedagogia ciencias sociales b educadores education teacher training didactics teaching special aspects theory practice,,18,0,,,,,,,False
2011-7574,2518-4431,2011-7574,sociologia ciencias sociales c,health professions miscellaneous q3 occupational therapy physical sports rehabilitation q4 public environmental speech hearing medicine engineering economics business,4,18,,,,,,,False
2145-7719,2145-4493,2145-7719,derecho ciencias sociales c ces universidad catolica santisima concepcion,law q4 social sciences legal jurisprudence history public private,9,9,,,,,,,False
1692-7125,2448-5764,1692-7125,otras ingenierias tecnologias ingenieria tecnologia c h artes humanidades ciencias sociales,social sciences education arts cultural history literature general europe,11,9,,,,,,,False
2027-4688,2027-4688,2539-4711,historia arqueologia humanidades b fronteras history historiography costa rican central american latin general europe america spanish philosophy psychology religion doctrinal theology specific doctrines movements heresies schisms,history q1 arts humanities,26,4,1116.0,EUR,1205.28,1.08,3171.79,observado,True
0120-548X,2705-3822,1900-1649,ciencias biologicas naturales b,neurology clinical q4 medicine biologica colombiana biological biotechnology cell molecular biology medical sciences science general,4,15,2206.05,EUR,2382.53,1.08,6269.82,observado,True
1900-0448,,2500-5286,derecho ciencias sociales c,,4,0,,,,,,,False
0120-3916,0120-3916,2323-0134,educacion general incluye capacitacion pedagogia ciencias sociales b colombiana education teacher training didactics teaching special aspects theory practice,education q3 social sciences,18,4,,,,,,,False
1794-6670,2961-5666,2215-9959,otras artes arte humanidades a2,musica artes visuales escenicas jrm music culture oral traditions performance books language literature general performing arts show business,5,18,3170.0,EUR,3423.6,1.08,9009.47,observado,True
0120-2456,2215-4744,2256-5647,historia arqueologia humanidades a2 history historiography costa rican central american latin general europe america spanish philosophy psychology religion doctrinal theology specific doctrines movements heresies schisms,anuario colombiano historia social,25,4,1116.0,EUR,1205.28,1.08,3171.79,observado,True
2248-6046,,2011-7663,economia negocios ciencias sociales c,management economics education accounting social sciences economic theory demography as science,5,11,1828.49,EUR,1974.77,1.08,5196.76,observado,True
0123-921X,1970-7452,2248-7638,ingenierias electrica electronica informatica ingenieria tecnologia b,,7,0,,,,,,,False
0120-1263,1970-7452,2390-0032,otras humanidades c,,3,0,,,,,,,False
1692-8261,1996-5389,2216-1368,otras ingenierias tecnologias ingenieria tecnologia b prospectiva oficial universidad privada antonio guillermo urrelo,social sciences law economics education management general,13,7,2838.0,EUR,3065.04,1.08,8065.89,observado,True
0121-5256,0123-2576,1909-7700,medicina clinica ciencias medicas salud c,education q4 medical laboratory technology medicine miscellaneous health professions social sciences med biomedical science human translational clinical practice,6,18,1569.89,EUR,1695.48,1.08,4461.79,observado,True
1794-5887,1697-9745,2539-1208,otras humanidades a2 co herencia education training educational special aspects theory practice,,12,0,,,,,,,False
1692-7273,1692-7273,2145-4507,medicina clinica ciencias medicas salud c,health policy q4 social science medicine miscellaneous sciences microbiology physiotherapy pharmacy nutrition,6,12,2000.0,EUR,2160.0,1.08,5684.21,observado,True
1909-4450,2715-9256,2256-5027,otras ciencias sociales c publica jurnal pemikiran administrasi negara,republicana public administration policy bureaucracy service governance local government political science institutions asia asian only,9,15,,,,,,,False
0121-0807,2707-6954,2145-8464,ciencias salud medicas b uis,health professions miscellaneous q3 occupational therapy physical sports rehabilitation q4 public environmental speech hearing medicine sciences nursing education,5,18,,,,,,,False
2011-0324,2251-8665,2665-4814,ciencias sociales interdisciplinaria otras b,cs discrete mathematics combinatorics graph theory computer science,5,8,990.0,EUR,1069.2,1.08,2813.68,observado,True
1657-4915,2215-3659,2389-7856,ciencias educacion sociales c praxis philosophy bioethics latin american thinking psychology religion speculative general,,14,0,2380.0,EUR,2570.4,1.08,6764.21,observado,True
1794-1237,2183-8925,2463-0950,ingenieria civil tecnologia b,,4,0,,,,,,,False
0120-0534,2007-7149,0120-0534,psicologia ciencias sociales a2 latinoamericana philosophy psychology religion,psychology miscellaneous q2 social sciences behavioral clinical occupational educational psychosocial,8,10,1828.24,EUR,1974.5,1.08,5196.05,observado,True
0486-6525,0486-6525,2539-472X,antropologia sociologia ciencias sociales a2,archeology arts humanities q2 cultural history anthropology q3 social sciences,5,10,,,,,,,False
1794-9920,,1794-9920,economia negocios ciencias sociales c face facultad economicas u pamplona,management economics education accounting social sciences economic theory demography as science,10,11,1828.49,EUR,1974.77,1.08,5196.76,observado,True
0123-4226,0123-4226,2619-2551,otras ciencias agricolas b cientifica facultad veterinarias universidad zulia,agricultural biological sciences miscellaneous q4 biochemistry genetics molecular biology environmental science geography planning development social veterinary medicine animal economics public health food technology,9,23,895.15,EUR,966.76,1.08,2544.11,observado,True
1657-4702,1991-2773,2462-859X,otras humanidades b,,3,0,2492.33,EUR,2691.72,1.08,7083.47,observado,True
1794-2489,1849-1685,2011-2742,otras ciencias sociales c,tabula rasa humanistic sciences history literature linguistics archaeology general works scholarship learning humanities,4,13,,,,,,,False
2382-4018,2382-4018,2382-4018,otras humanidades c collectivus ciencias sociales,practics social practices territorial economical sciences general,6,7,2000.0,EUR,2160.0,1.08,5684.21,observado,True
2322-9381,2322-9381,2322-9675,historia arqueologia humanidades a2,history q2 social sciences miscellaneous q3 arts humanities trashumante public health medicine general,4,13,2618.0,EUR,2827.44,1.08,7440.63,observado,True
2145-9258,1811-9034,2389-7724,educacion general incluye capacitacion pedagogia ciencias sociales b cultura sociedad edusoc learning teaching higher education pedagogy special aspects,,18,0,,,,,,,False
0124-2253,2521-9715,2344-8350,otras ingenierias tecnologias ingenieria tecnologia b cientifica facultad ciencias veterinarias universidad zulia,veterinary medicine animal science agricultural economics public health food technology,12,10,895.15,EUR,966.76,1.08,2544.11,observado,True
0034-7426,1657-0448,2357-4100,matematica ciencias naturales c,dermatology q4 surgery medicine social science sociology anthropology political demography general sciences,4,12,2331.51,EUR,2518.03,1.08,6626.39,observado,True
0120-5587,0717-621X,0120-5587,estudios generales lenguaje idiomas literatura humanidades c,,7,0,2380.0,EUR,2570.4,1.08,6764.21,observado,True
0121-053X,0121-053X,2346-1829,linguistica idiomas literatura humanidades b,linguistics language q2 social sciences linguistica hispanica modern romance languages slavic germanic literature philology,5,14,1898.13,EUR,2049.98,1.08,5394.68,observado,True
1794-2470,2715-9256,2462-9448,ciencias biologicas naturales b nova publicacion cientifica medicas publica jurnal pemikiran administrasi negara,public administration policy bureaucracy service governance local government political science institutions asia asian only,13,14,2900.0,EUR,3132.0,1.08,8242.11,observado,True
2344-8652,2344-8652,2344-8652,otras ingenierias tecnologias ingenieria tecnologia b investigacion innovacion engineering environmental industrial systems mechanical,technology engineering general civil,13,4,,,,,,,False
0121-7577,2665-2056,2462-8425,salud publica ciencias medicas b hacia promocion medicine general,health professions miscellaneous q3 occupational therapy physical sports rehabilitation q4 public environmental speech hearing medicine mental innovation physiotherapy,9,18,,,,,,,False
0120-159X,1657-0448,2256-5485,sociologia ciencias sociales b,dermatology q4 surgery medicine social sciences epistemology chilhood gender child abuse sociology general,4,13,2505.83,EUR,2706.3,1.08,7121.84,observado,True
0121-8530,0121-8530,2346-3864,idiomas literatura humanidades b,literature literary theory q4 arts humanities philosophy religious sciences social theology interdisciplinary dialogue,4,13,,,,,,,False
1657-4583,2215-2652,2145-8456,otras ingenierias tecnologias ingenieria tecnologia b,technology engineering general civil,6,4,,,,,,,False
2011-7485,2007-7149,2011-7485,psicologia ciencias sociales b desde caribe philosophy psychology religion,behavioral sciences clinical psychology occupational educational social psychosocial,9,8,,,,,,,False
0121-750X,0121-750X,2344-8393,ingenierias electrica electronica informatica ingenieria tecnologia b,engineering miscellaneous q4 technology general civil,7,6,,,,,,,False
2027-2448,2745-1402,2745-1402,otras ciencias sociales c,law jurisprudence politics philosophy sociology social sciences general,4,8,1828.24,EUR,1974.5,1.08,5196.05,observado,True
0122-9354,2675-6617,2389-8526,ciencias veterinarias agricolas c,,4,0,380.8,EUR,411.26,1.08,1082.26,observado,True
0121-3474,2174-4017,2619-3752,derecho ciencias sociales c,,4,0,,,,,,,False
0123-4870,,0120-2146,otras humanidades b,,3,0,,,,,,,False
